,prefix_depth,url_element,description
0,0,survey,설문조사
1,1,responseView.px,설문조사 완료
2,1,responseView_insert.px,설문조사 DB insert
3,1,survey.px,설문조사
4,0,en,영문 페이지
5,1,main,웹 접근 홈페이지
6,2,index.px,홈페이지
7,1,podo,포도호텔
8,2,mobile,모바일
9,3,index.px,홈페이지
10,3,about.px,호텔 소개
11,3,photos.px,포토뷰
12,3,hot_guide.px,온천 소개
13,3,hot_intro.px,온천 소개 메인
14,3,room_suite.px,룸 소개 메인
15,3,room_royal_suite_tradition.px,로얄 스위트 한실 소개
16,3,room_royal_suite.px,로얄 스위트 양실 소개
17,3,room_deluxe_tradition.px,디럭스 한실 소개
18,3,room_deluxe.px,디럭스 양실 소개
19,3,reservation_guide.px,룸 예약 안내
20,3,podo_gall_guide.px,갤러리 소이 소개
21,3,arch_guide.px,건축 예술 가이드
22,3,trekking.px,트래킹
23,3,restaurant.px,레스토랑
24,3,wedding_guide.px,웨딩
25,3,location.px,리조트 찾아오시는 길
26,3,location_resort.px,리조트 내 이동 가이드
27,3,resort.px,핀크스 회사 소개
28,3,history.px,핀크스 회사 연혁소개
29,0,mobile,모바일
30,1,main.px,모바일 접근 홈페이지
31,1,recruit_01.px,채용안내
32,1,recruit_02.px,채용공고
33,1,recruit_02_view.px,채용공고(기본 틀)
34,1,recruit_03.px,인재DB등록
35,1,recruit_04.px,채용결과확인
36,1,recruit_04_view.px,채용결과확인(기본 틀)
37,1,recruit_05.px,채용 FAQ
38,1,recruit_06.px,인재상
39,1,recruit_07.px,인사제도
40,1,recruit_08.px,복리후생
41,1,recruit_09.px,채용 공지사항
42,1,recruit_09_view.px,채용 공지사항(기본 틀)
43,1,recruit_passSearch.px,채용결과 이름/비밀번호 입력 이전
44,1,recruit_passResult.px,채용결과 이름/비밀번호 입력 이후
45,1,recruit_searchPassword.px,채용공고 비밀번호 찾기 입력 이전
46,1,recruit_searchPasswordResult.px,채용공고 비밀번호 찾기 입력 이후
47,2,web,웹
48,3,sitemap.px,사이트맵
49,3,weather.px,기상정보
50,0,annex,디아넥스
51,1,web,웹
52,2,login.px,멤버십 로그인
53,2,reservation_login.px,예약 확인
54,2,dormantCert.px,멤버십 가입
55,2,joinCert.px,멤버십 가입 시작점
56,2,joinAgree.px,멤버십 가입 승인
57,2,joinForm.px,멤버십 가입 양식
58,2,joinComplete.px,멤버십 가입 완료
59,2,findId.px,멤버십 아이디 찾기
60,2,findPasswd.px,멤버십 비밀번호 찾기
61,2,findIdResult.px,멤버십 아이디 찾기 결과
62,2,findPasswdResult.px,멤버십 비밀번호 찾기 결과
63,2,updateMember.px,회원정보 수정
64,2,reservation_nomember.px,예약정보 조회
65,2,CancleReserve.px,예약취소
66,2,my_reservation.px,내 예약정보
67,2,my_info_pw.px,나의 정보(패스워드)
68,2,my_info.px,나의 정보
69,2,outMember.px,마이페이지 회원 탈퇴
70,2,withdrawal.px,멤버 철회
71,2,customer_review.px,고객리뷰
72,2,my_membership.px,마이페이지 멤버십
73,2,location.px,리조트 찾아오시는 길
74,2,location_resort.px,리조트 내 이동 가이드
75,2,about.px,호텔 소개
76,2,photos.px,포토뷰
77,2,notice.px,공지사항
78,2,notice_view.px,공지사항(기본 틀)
79,2,news_room.px,뉴스룸
