,date,access_users_num,membership_join_num,reservation_users_num,action_sequence_len_min,action_sequence_len_max,action_sequence_len_mean,action_sequence_len_median,first_access_location_modest,first_access_location_least,departure_location_modest,departure_location_least,access_location_modest,access_location_least,stay_time_min,stay_time_max,stay_time_mean,stay_time_median,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2020-12-09,720,5,9,1,96,4.856944444444444,3.0,m.search.naver.com,디아넥스 웹 호텔 소개,포도호텔 모바일 홈페이지,골프클럽 접속 웹,포도호텔 모바일 홈페이지,디아넥스 웹 리조트 찾아오시는 길,0,26671,700.9263888888889,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,105,72,77,93,106,130,52,0
1,2020-12-10,2211,12,30,1,69,4.710538218000905,3.0,m.search.naver.com,www.accuweather.com,포도호텔 모바일 홈페이지,골프클럽 접속 모바일 뉴스룸(기본 틀),포도호텔 모바일 홈페이지,www.accuweather.com,0,84179,2130.77250113071,11.0,99,74,36,25,26,22,30,54,66,77,109,134,117,111,119,110,133,111,99,83,136,158,171,111
2,2020-12-11,1851,12,28,1,77,4.763371150729336,3.0,m.search.naver.com,m.saramin.co.kr,포도호텔 모바일 홈페이지,영문 페이지 비오토피아 모바일 박물관 소개,포도호텔 모바일 홈페이지,골프클럽 접속 모바일 핀크스 회사 연혁소개,0,82833,2117.342517558077,11.0,90,57,48,25,18,20,30,44,57,118,95,115,114,83,108,81,108,90,57,82,95,92,115,109
3,2020-12-12,1585,13,27,1,57,4.500315457413249,3.0,m.search.naver.com,job.incruit.com,포도호텔 모바일 홈페이지,포도호텔 모바일 웨딩 관련 개인정보 관련 동의서,포도호텔 모바일 홈페이지,job.incruit.com,0,85153,2385.4208201892743,11.0,82,49,34,20,24,28,28,50,48,51,71,73,63,62,66,90,69,82,65,84,93,126,126,101
4,2020-12-13,1624,17,30,1,43,4.804802955665025,3.0,m.search.naver.com,www.jprime.jp,포도호텔 모바일 홈페이지,비오토피아 웹 홈페이지,포도호텔 모바일 홈페이지,디아넥스 웹 예약정보 조회,0,83427,2353.4913793103447,17.0,83,41,25,18,24,22,20,46,39,73,61,63,92,75,71,104,95,96,73,96,105,104,105,93
5,2020-12-15,1788,10,26,1,56,4.712527964205816,3.0,m.search.naver.com,디아넥스 모바일 핀크스 회사 연혁소개,포도호텔 모바일 홈페이지,디아넥스 모바일 핀크스 회사 연혁소개,포도호텔 모바일 홈페이지,디아넥스 모바일 핀크스 회사 연혁소개,0,84872,1918.6996644295302,12.0,78,47,26,16,14,11,19,35,61,95,105,88,92,104,98,126,101,92,75,87,110,108,109,91
6,2020-12-16,1720,12,25,1,60,4.404651162790698,3.0,m.search.naver.com,디아넥스 모바일 객실예약 인원수,포도호텔 모바일 홈페이지,포도호텔 모바일 호텔 기념품 리스트,포도호텔 모바일 홈페이지,골프클럽 접속 웹 사이트맵,0,82217,2032.2790697674418,4.0,64,61,39,15,28,20,18,39,60,86,89,101,72,74,75,87,109,84,76,90,123,98,102,110
7,2020-12-17,1597,13,20,1,61,4.451471509079524,3.0,m.search.naver.com,boardingarea.com,포도호텔 모바일 홈페이지,영문 페이지 비오토피아 모바일 홈페이지,포도호텔 모바일 홈페이지,boardingarea.com,0,81863,1885.92360676268,3.0,75,28,32,24,31,14,12,37,46,86,86,74,69,78,95,81,83,83,80,77,102,91,102,111
8,2020-12-18,1520,11,22,1,152,4.748684210526315,3.0,m.search.naver.com,디아넥스 웹 컨퍼런스룸 안내,포도호텔 모바일 홈페이지,디아넥스 웹 컨퍼런스룸 안내,포도호텔 모바일 홈페이지,골프클럽 접속 모바일 제주도 축제/행사 리스트,0,79998,2168.6447368421054,4.0,59,46,24,15,21,13,21,36,35,69,70,82,73,72,86,87,100,98,67,75,90,79,97,105
9,2020-12-19,1377,7,20,1,62,4.4880174291939,3.0,m.search.naver.com,포도호텔 웹 예약 안내,포도호텔 모바일 홈페이지,디아넥스 모바일 온천 소개 메인,포도호텔 모바일 홈페이지,포도호텔 모바일 고객리뷰,0,85796,2340.2621641249093,10.0,91,55,27,15,19,13,19,18,43,36,47,59,82,60,77,77,79,75,72,64,94,98,83,74
10,2020-12-20,1508,11,14,1,52,4.389257294429708,3.0,m.search.naver.com,포도호텔 모바일 룸 소개 메인,포도호텔 모바일 홈페이지,thongtinhanquoc.com,포도호텔 모바일 홈페이지,thongtinhanquoc.com,0,74851,2233.7984084880636,8.0,58,39,35,18,22,12,27,20,27,46,41,71,64,67,70,81,96,77,82,120,133,104,118,80
11,2020-12-21,1496,5,12,1,55,4.625,3.0,m.search.naver.com,m.enclean.com,포도호텔 모바일 홈페이지,포도호텔 모바일 갤러리 소이 소개,포도호텔 모바일 홈페이지,m.enclean.com,0,84294,1712.000668449198,10.0,86,57,40,13,13,20,25,48,36,63,76,80,62,67,81,56,60,64,58,59,92,103,145,92
12,2020-12-22,1540,3,22,1,60,4.944805194805195,4.0,m.search.naver.com,1.226.66.240:80,포도호텔 모바일 홈페이지,포도호텔 모바일 갤러리 소이 전시품 안내,포도호텔 웹 홈페이지,골프클럽 접속 웹 핀크스 회사 소개,0,81872,1498.118831168831,15.0,73,64,56,35,23,15,35,30,48,80,77,76,79,79,80,84,146,79,81,64,72,61,58,45
13,2020-12-23,1614,11,16,1,58,4.24907063197026,3.0,포도호텔 모바일 홈페이지,www.lovespoon.co.kr,포도호텔 모바일 홈페이지,포도호텔 웹 객실예약 결제,포도호텔 모바일 홈페이지,www.lovespoon.co.kr,0,84346,1527.6109045848823,3.0,55,32,21,10,11,10,21,23,45,79,97,215,201,111,84,72,85,69,90,53,53,52,86,39
14,2020-12-24,1108,8,9,1,39,4.215703971119134,3.0,m.search.naver.com,포도호텔 웹 예약 안내,포도호텔 모바일 홈페이지,www.bing.com,포도호텔 모바일 홈페이지,www.vogue.co.kr,0,82372,1533.8682310469314,3.0,75,39,33,25,8,12,20,28,42,47,82,72,57,65,87,48,50,53,58,43,29,37,56,42
15,2020-12-25,1397,5,6,1,62,3.614889047959914,2.0,포도호텔 모바일 홈페이지,www.google.at,포도호텔 모바일 홈페이지,www.google.at,포도호텔 모바일 홈페이지,www.google.at,0,78392,1484.5912670007158,1.0,35,32,19,13,14,27,42,53,74,105,153,83,66,72,74,70,69,48,54,67,45,65,62,55
16,2020-12-26,1463,12,1,1,57,3.8257006151742994,2.0,포도호텔 모바일 홈페이지,디아넥스 모바일 뉴스룸(기본 틀),포도호텔 모바일 홈페이지,골프클럽 접속 웹 홈페이지,포도호텔 모바일 홈페이지,디아넥스 웹 골프탕탕 소개,0,80179,1828.3841421736158,2.0,62,28,21,10,10,11,20,23,35,44,50,44,69,69,98,93,108,71,81,83,92,104,115,122
17,2020-12-27,1599,7,0,1,69,3.930581613508443,2.0,m.search.naver.com,www.gdweb.co.kr,포도호텔 모바일 홈페이지,디아넥스 웹 수영장 소개,포도호텔 모바일 홈페이지,www.gdweb.co.kr,0,84028,2163.9224515322076,2.0,75,27,39,18,7,16,21,16,45,42,68,54,76,80,79,82,94,84,99,117,128,101,131,100
18,2020-12-28,1662,11,12,1,38,3.9428399518652224,2.0,포도호텔 모바일 홈페이지,디아넥스 모바일 온천 소개 메인,포도호텔 모바일 홈페이지,디아넥스 모바일 P-스토어 안내,포도호텔 모바일 홈페이지,골프클럽 접속 모바일 골프코스 WEST COURSE 소개,0,82650,2021.1004813477737,3.0,75,32,28,24,10,10,14,24,37,58,75,77,64,75,112,77,105,91,86,76,116,130,160,106
19,2020-12-29,1992,2,14,1,36,3.341867469879518,2.0,포도호텔 모바일 홈페이지,www.kapwing.com,포도호텔 모바일 홈페이지,www.kapwing.com,포도호텔 모바일 홈페이지,www.kapwing.com,0,84501,2165.9558232931727,1.0,79,51,34,90,85,30,24,38,73,72,71,71,69,90,82,94,130,102,90,82,120,122,161,132
20,2020-12-30,1618,5,14,1,68,3.6489493201483314,2.0,포도호텔 모바일 홈페이지,www.nbntv.co.kr,포도호텔 모바일 홈페이지,디아넥스 웹 공지사항(기본 틀),포도호텔 모바일 홈페이지,www.nbntv.co.kr,0,85364,2731.003090234858,2.0,90,53,36,22,26,20,10,24,38,54,67,71,72,58,67,75,102,106,67,91,99,133,133,104
21,2020-12-31,1709,8,8,1,38,3.2715038033937978,2.0,포도호텔 모바일 홈페이지,골프탕탕 관련 요소 웹 홈페이지,포도호텔 모바일 홈페이지,비오토피아 모바일 핀크스 회사 소개,포도호텔 모바일 홈페이지,비오토피아 모바일 핀크스 회사 소개,0,84775,2504.3616149795203,1.0,102,48,27,23,24,19,22,31,48,66,59,69,72,70,98,86,134,109,113,92,109,95,112,81
22,2021-01-05,1685,11,21,1,55,3.9667655786350147,2.0,포도호텔 모바일 홈페이지,fnb.thepinx.com,포도호텔 모바일 홈페이지,인재채용 채용 공지사항,포도호텔 모바일 홈페이지,fnb.thepinx.com,0,82598,1354.9157270029673,2.0,70,21,36,33,72,52,63,94,104,68,72,65,74,97,85,91,83,73,46,79,78,89,58,82
23,2021-01-06,1561,4,16,1,46,4.137732222934017,3.0,포도호텔 모바일 홈페이지,www.hankookilbo.com,포도호텔 모바일 홈페이지,골프클럽 접속 모바일 레스토랑 안내,포도호텔 모바일 홈페이지,www.hankookilbo.com,0,84632,1870.3042921204355,7.0,57,35,24,23,16,14,23,28,40,92,78,92,69,78,85,82,95,81,89,84,120,84,111,61
24,2021-01-07,1341,7,17,1,63,4.256524981357196,3.0,m.search.naver.com,포도호텔 모바일 예약 안내,포도호텔 모바일 홈페이지,인재채용 채용 공지사항,포도호텔 모바일 홈페이지,골프클럽 접속 모바일 스타트 하우스 안내,0,80387,1633.234153616704,4.0,68,38,31,23,19,13,8,15,41,43,75,79,45,62,85,96,80,63,62,53,75,85,98,84
25,2021-01-08,1497,16,21,1,36,3.9585838343353372,2.0,포도호텔 모바일 홈페이지,www.pinxgc.co.kr,포도호텔 모바일 홈페이지,디아넥스 웹 객실 패밀리 스위트 안내,포도호텔 모바일 홈페이지,골프클럽 접속 모바일 골프코스 WEST COURSE 소개,0,83990,2319.9485637942553,5.0,76,28,35,10,22,16,10,17,17,58,70,75,81,109,114,106,104,91,63,60,64,98,88,85
26,2021-01-09,1344,12,27,1,39,4.010416666666667,3.0,m.search.naver.com,포도호텔 웹 로얄 스위트 한실 소개,포도호텔 모바일 홈페이지,디아넥스 모바일 마케팅 관련 개인정보 관련 동의서,포도호텔 모바일 홈페이지,디아넥스 모바일 마케팅 관련 개인정보 관련 동의서,0,82973,1697.266369047619,3.0,69,44,25,16,12,13,15,24,27,57,53,65,96,61,89,112,79,78,69,47,71,89,61,72
27,2021-01-10,1617,14,36,1,143,4.524427952999382,3.0,포도호텔 모바일 홈페이지,디아넥스 웹 예약 안내,포도호텔 모바일 홈페이지,디아넥스 웹 객실 패밀리룸 안내,포도호텔 모바일 홈페이지,lesignhotel.com,0,83369,2166.008658008658,14.0,102,38,35,21,15,14,10,44,35,45,63,77,76,67,91,106,115,79,80,96,100,114,111,83
28,2021-01-11,1605,20,24,1,40,4.765109034267913,3.0,m.search.naver.com,포도호텔 모바일 룸 소개 메인,포도호텔 모바일 홈페이지,m.search.daum.net,포도호텔 웹 홈페이지,디아넥스 모바일 비밀번호 변경,0,77149,1576.5084112149532,17.0,77,49,29,18,25,17,28,22,41,36,84,74,62,78,93,72,104,105,105,83,85,102,133,83
29,2021-01-12,1853,15,32,1,66,4.48461953588775,3.0,포도호텔 모바일 홈페이지,포도호텔 모바일 객실예약 객실 옵션 선택,포도호텔 모바일 홈페이지,디아넥스 모바일 핀크스 회사 소개,포도호텔 모바일 홈페이지,디아넥스 모바일 핀크스 회사 소개,0,84279,2027.605504587156,14.0,83,34,23,13,9,13,14,23,31,70,85,88,98,103,111,156,98,102,102,89,119,134,138,117
30,2021-01-13,1843,14,22,1,63,4.58654367878459,3.0,m.search.naver.com,일본 페이지 접속 골프클럽 접속 모바일 홈페이지,포도호텔 모바일 홈페이지,일본 페이지 접속 골프클럽 접속 모바일 홈페이지,포도호텔 모바일 홈페이지,포도호텔 홈페이지,0,83112,1454.5805751492132,14.0,82,42,33,21,10,13,13,19,48,56,95,102,72,88,104,94,106,106,87,110,127,164,139,112
31,2021-01-14,1797,10,22,1,45,4.521981079577073,3.0,m.search.naver.com,골프클럽 접속 웹 객실패키지 안내,포도호텔 모바일 홈페이지,골프클럽 접속 모바일 골프코스 WEST COURSE 소개,포도호텔 모바일 홈페이지,비오토피아 모바일 핀크스 회사 연혁소개,0,85582,2191.567612687813,16.0,108,34,22,24,18,31,18,34,33,80,79,99,87,82,96,90,111,94,86,94,116,119,135,107
